snapshot,b1_ch1_score,b1_ch1_flag,b2_ch1_score,b2_ch1_flag,b3_ch1_score,b3_ch1_flag,b4_ch1_score,b4_ch1_flag,composite_score,composite_flag
2004.02.12.18.42.39,-0.17442416628511848,0,-0.10047903131100516,0,-0.18147680594328802,0,-0.19220630982180803,0,-0.10047903131100516,0
2004.02.12.18.52.39,-0.1340638204062336,0,-0.12729315940465208,0,-0.1790971563198867,0,-0.19774879056104144,0,-0.12729315940465208,0
2004.02.12.19.02.39,-0.14232041198429984,0,-0.12879207445314117,0,-0.17382740559914667,0,-0.19714543992561967,0,-0.12879207445314117,0
2004.02.12.19.12.39,0.058365739022977925,1,-0.11407825062971733,0,-0.16409116035596288,0,-0.1283109303747617,0,0.058365739022977925,1
2004.02.12.19.22.39,-0.14657438748398016,0,-0.010949779394584191,0,-0.1657823358977159,0,-0.10740015091182131,0,-0.010949779394584191,0
2004.02.12.19.32.39,-0.17334594724883645,0,-0.15675559757252483,0,-0.18060003762761034,0,-0.14323822255760932,0,-0.14323822255760932,0
2004.02.12.19.42.39,-0.050664177927241316,0,-0.028456275091553018,0,-0.16240191727986164,0,-0.09137529092161384,0,-0.028456275091553018,0
2004.02.12.19.52.39,-0.159832444455753,0,-0.1853980550956787,0,-0.15036845042453195,0,-0.2154252094705295,0,-0.15036845042453195,0
2004.02.12.20.02.39,-0.1354840669143652,0,-0.11935366990241908,0,-0.20038835686998113,0,-0.2064586409875957,0,-0.11935366990241908,0
2004.02.12.20.12.39,-0.09231277889740774,0,-0.10842935745118965,0,-0.1418934188066902,0,-0.15199378157726212,0,-0.09231277889740774,0
2004.02.12.20.22.39,-0.14772270351127492,0,-0.09134258595108685,0,-0.13618123880996502,0,-0.11882911174330463,0,-0.09134258595108685,0
2004.02.12.20.32.39,-0.19068727504233174,0,-0.13770861347941749,0,0.009774925750158592,1,-0.14396276907625039,0,0.009774925750158592,1
2004.02.12.20.42.39,-0.11016700575417204,0,-0.11404944481490248,0,-0.1407529502939341,0,-0.17028713777074495,0,-0.11016700575417204,0
2004.02.12.20.52.39,-0.15987906170146943,0,-0.16011730064474067,0,-0.10164697289143781,0,-0.17795232047363618,0,-0.10164697289143781,0
2004.02.12.21.02.39,-0.19719801134465142,0,-0.15936110570673667,0,-0.18611388781223737,0,-0.1713762872692544,0,-0.15936110570673667,0
2004.02.12.21.12.39,-0.19254640788466748,0,-0.16879981893875246,0,-0.08138747955696202,0,-0.16891012997921745,0,-0.08138747955696202,0
2004.02.12.21.22.39,-0.13532178689203977,0,-0.1789727352546449,0,-0.16531724402101855,0,-0.17357630736961738,0,-0.13532178689203977,0
2004.02.12.21.32.39,-0.15133737375911765,0,-0.12380620660372721,0,-0.08996366314854887,0,-0.12450664370563458,0,-0.08996366314854887,0
2004.02.12.21.42.39,-0.14896882326620436,0,-0.1748734692194276,0,-0.17966765098900678,0,0.013594682867682617,1,0.013594682867682617,1
2004.02.12.21.52.39,-0.18005978312225346,0,-0.1663300739718549,0,-0.16927873448203873,0,-0.1476823936042183,0,-0.1476823936042183,0
2004.02.12.22.02.39,-0.09471989691091998,0,-0.07942586009942632,0,-0.10389831456342696,0,-0.046869345159036735,0,-0.046869345159036735,0
2004.02.12.22.12.39,-0.03620496378221394,0,-0.11696802331732403,0,-0.19302829421088685,0,-0.16418803895041761,0,-0.03620496378221394,0
2004.02.12.22.22.39,-0.1717556431357476,0,-0.1628992240622349,0,-0.0892109006638756,0,-0.20571376171695205,0,-0.0892109006638756,0
2004.02.12.22.32.39,-0.13627880077882254,0,-0.04488527091059369,0,-0.12183152473925002,0,-0.12740095842233734,0,-0.04488527091059369,0
2004.02.12.22.42.39,-0.133076321108288,0,-0.07623197417471611,0,-0.10258650816727799,0,-0.17438064642512352,0,-0.07623197417471611,0
2004.02.12.22.52.39,-0.13882839308140188,0,-0.09491307303952534,0,-0.09130270761511128,0,-0.1628661147627985,0,-0.09130270761511128,0
2004.02.12.23.02.39,-0.17684094578796128,0,-0.14460775744633958,0,-0.16179002434768586,0,-0.16371200701048982,0,-0.14460775744633958,0
2004.02.12.23.12.39,-0.12483825060446191,0,-0.11949401401266813,0,-0.17081092204959847,0,-0.17791663189181467,0,-0.11949401401266813,0
2004.02.12.23.22.39,-0.14829204425522058,0,-0.16060769843465628,0,-0.2106279565789848,0,-0.1947980034100692,0,-0.14829204425522058,0
2004.02.12.23.32.39,-0.08159998551239461,0,-0.176088243189448,0,-0.20380851399147887,0,-0.13573567630731392,0,-0.08159998551239461,0
2004.02.12.23.42.39,-0.1443414161897814,0,-0.1476088113601272,0,-0.05936071487286465,0,0.02327655045104582,1,0.02327655045104582,1
2004.02.12.23.52.39,-0.14773907128134967,0,-0.14080052447988906,0,-0.021375181168021506,0,-0.19255891046128337,0,-0.021375181168021506,0
2004.02.13.00.02.39,-0.15345807541652678,0,-0.18129161616815165,0,-0.19162058230217233,0,-0.1249817561600744,0,-0.1249817561600744,0
2004.02.13.00.12.39,-0.09790210853786457,0,-0.16889912174848348,0,-0.20231589219046225,0,-0.1352906202220457,0,-0.09790210853786457,0
2004.02.13.00.22.39,-0.17058144593600344,0,-0.14633139755649632,0,-0.18684810480080555,0,-0.19231638201755513,0,-0.14633139755649632,0
2004.02.13.00.32.39,-0.15714732244514212,0,-0.15312092645430125,0,-0.1828650018070147,0,-0.12322045162218603,0,-0.12322045162218603,0
2004.02.13.00.42.39,-0.12478597309397765,0,-0.13791955852382737,0,-0.189925582889926,0,-0.060041280901718896,0,-0.060041280901718896,0
2004.02.13.00.52.39,-0.1426418767729088,0,0.050077796382205886,1,-0.11933386609894386,0,-0.13349661469995305,0,0.050077796382205886,1
2004.02.13.01.02.39,-0.09041987985276367,0,-0.1341106608339298,0,-0.1886942692951315,0,-0.18324109981107062,0,-0.09041987985276367,0
2004.02.13.01.12.39,-0.10495964563273891,0,-0.0922041183075249,0,-0.11140840334510305,0,-0.14283828472985582,0,-0.0922041183075249,0
2004.02.13.01.22.39,-0.16625510217963846,0,-0.14512536989771252,0,-0.09138044870756235,0,-0.18706215473841187,0,-0.09138044870756235,0
2004.02.13.01.32.39,-0.08253778192608369,0,-0.08856929025458304,0,-0.12995158638561505,0,-0.044544983241545655,0,-0.044544983241545655,0
2004.02.13.01.42.39,-0.15558139900703533,0,-0.020028064952466673,0,0.029901323629448306,1,-0.19007465740632584,0,0.029901323629448306,1
2004.02.13.01.52.39,-0.1819708679152765,0,-0.19054613484551897,0,-0.10292925327406105,0,-0.06061522223785565,0,-0.06061522223785565,0
2004.02.13.02.02.39,-0.10523798394382311,0,-0.18600195140966247,0,-0.14412566529693793,0,-0.17397703700748923,0,-0.10523798394382311,0
2004.02.13.02.12.39,-0.14542668463596448,0,-0.005384721748432297,0,-0.11902083272570663,0,-0.20125081661372013,0,-0.005384721748432297,0
2004.02.13.02.22.39,-0.15532389970632016,0,-0.17427595039166405,0,-0.12643879657675183,0,-0.1496991292315506,0,-0.12643879657675183,0
2004.02.13.02.32.39,-0.16973155674519763,0,-0.13267310207019894,0,-0.16665344832540618,0,-0.11583354990143807,0,-0.11583354990143807,0
2004.02.13.02.42.39,-0.09167407239606351,0,-0.15449554730254483,0,-0.16670188962200555,0,-0.09593906290320425,0,-0.09167407239606351,0
2004.02.13.02.52.39,-0.18067366452578892,0,-0.1647504102195057,0,-0.16117336839196733,0,-0.13703769981884067,0,-0.13703769981884067,0
2004.02.13.03.02.39,-0.15378814079968228,0,-0.12720934503783465,0,-0.1253006490799614,0,-0.20483003938947508,0,-0.1253006490799614,0
2004.02.13.03.12.39,-0.12189753472946874,0,-0.13037937168635183,0,-0.20084462328453684,0,-0.1910825401406746,0,-0.12189753472946874,0
2004.02.13.03.22.39,-0.14635949227596895,0,-0.11117286687668043,0,-0.16734166186331806,0,-0.16439506955670408,0,-0.11117286687668043,0
2004.02.13.03.32.39,-0.08296299858698503,0,-0.15138109218523543,0,-0.13692598996874844,0,-0.1978187227319569,0,-0.08296299858698503,0
2004.02.13.03.42.39,-0.13833133401569092,0,-0.1273316789849795,0,-0.14488885090844306,0,-0.19219265518055234,0,-0.1273316789849795,0
2004.02.13.03.52.39,-0.1295933218077986,0,-0.16835743084223798,0,-0.18830555415729633,0,-0.15265485526095324,0,-0.1295933218077986,0
2004.02.13.04.02.39,-0.16731019282456222,0,-0.12808832845062124,0,-0.1743087081308134,0,-0.17540519475102184,0,-0.12808832845062124,0
2004.02.13.04.12.39,-0.1586823794668405,0,-0.10708950766380188,0,-0.17294764121250422,0,-0.18319159575794552,0,-0.10708950766380188,0
2004.02.13.04.22.39,-0.18499397424141661,0,-0.14241039569446684,0,-0.17033565039000903,0,-0.1659743953885766,0,-0.14241039569446684,0
2004.02.13.04.32.39,-0.15072097429684167,0,-0.12043738281160371,0,-0.18004502189529903,0,-0.19954512953250164,0,-0.12043738281160371,0
2004.02.13.04.42.39,-0.18945173696181672,0,-0.14191955412412216,0,-0.17719516831915427,0,-0.10183198845802377,0,-0.10183198845802377,0
2004.02.13.04.52.39,-0.18003780794900565,0,-0.15726316878454194,0,-0.15680799037295312,0,-0.1704582779324777,0,-0.15680799037295312,0
2004.02.13.05.02.39,-0.16524896103834996,0,-0.1666911234296642,0,-0.13587187654558902,0,-0.15072705898259725,0,-0.13587187654558902,0
2004.02.13.05.12.39,-0.1384229947780063,0,-0.16925507207459245,0,-0.05860316080205841,0,-0.14654579197582424,0,-0.05860316080205841,0
2004.02.13.05.22.39,-0.13711732646417218,0,-0.13849780552407615,0,-0.11981624993034096,0,-0.20463632565134177,0,-0.11981624993034096,0
2004.02.13.05.32.39,-0.16286660385192142,0,-0.152166580045476,0,-0.16738171216391845,0,-0.21170275091352986,0,-0.152166580045476,0
2004.02.13.05.42.39,-0.1635729443588655,0,-0.14384597550771822,0,-0.15882262896353067,0,-0.15528715415596234,0,-0.14384597550771822,0
2004.02.13.05.52.39,-0.09694584568559111,0,-0.16361817992697902,0,-0.11783599620381463,0,-0.1736210107336969,0,-0.09694584568559111,0
2004.02.13.06.02.39,-0.16868209346289004,0,-0.15113351618392284,0,-0.165517241291044,0,-0.16761145987445109,0,-0.15113351618392284,0
2004.02.13.06.12.39,-0.17599100056813138,0,-0.12641849290786283,0,-0.17237348244570155,0,-0.1704082108312393,0,-0.12641849290786283,0
2004.02.13.06.22.39,-0.15560223061955664,0,-0.03404540663736089,0,-0.14315002148734807,0,-0.1845075133364028,0,-0.03404540663736089,0
2004.02.13.06.32.39,-0.16711558946947624,0,-0.05561668235256334,0,-0.18960986107821926,0,-0.18147387278954052,0,-0.05561668235256334,0
2004.02.13.06.42.39,-0.1549967628925384,0,-0.13300590622324915,0,-0.119705101257302,0,-0.1725772524224244,0,-0.119705101257302,0
2004.02.13.06.52.39,-0.15306821301193202,0,-0.1252255429458296,0,-0.14119366952117823,0,-0.19663750792929918,0,-0.1252255429458296,0
2004.02.13.07.02.39,-0.10320552832655255,0,-0.11528860326809415,0,-0.18900576685172182,0,-0.20181900013332665,0,-0.10320552832655255,0
2004.02.13.07.12.39,-0.15428331575617205,0,-0.17248594609229817,0,-0.07112914841765472,0,-0.17547240158400945,0,-0.07112914841765472,0
2004.02.13.07.22.39,-0.13337987181715322,0,-0.08590113271625505,0,-0.15520191909513725,0,-0.18119810079825688,0,-0.08590113271625505,0
2004.02.13.07.32.39,-0.12132360829599764,0,-0.1715325174885841,0,-0.1867712627051712,0,-0.14319324559636365,0,-0.12132360829599764,0
2004.02.13.07.42.39,-0.16334041406623023,0,-0.14890031363227596,0,-0.14741371868624503,0,-0.14818391678664483,0,-0.14741371868624503,0
2004.02.13.07.52.39,-0.18238541578606948,0,-0.14679555321576343,0,0.01901583860133138,1,-0.18104509622758974,0,0.01901583860133138,1
2004.02.13.08.02.39,-0.14288641562901466,0,-0.09039908503630717,0,-0.09701869850208472,0,-0.1817718015228899,0,-0.09039908503630717,0
2004.02.13.08.12.39,-0.05604508392097851,0,-0.1142441459447382,0,-0.07890935146406386,0,-0.15953867900359325,0,-0.05604508392097851,0
2004.02.13.08.22.39,-0.07684903818219718,0,-0.17871623938770476,0,-0.09843718673863927,0,-0.14428732338465738,0,-0.07684903818219718,0
2004.02.13.08.32.39,-0.15253517997534927,0,-0.18504706658164466,0,-0.1867757211081228,0,-0.20059194068673375,0,-0.15253517997534927,0
2004.02.13.08.42.39,-0.13733428005558257,0,-0.13626429784750366,0,-0.12520823441224005,0,-0.19968880983113807,0,-0.12520823441224005,0
2004.02.13.08.52.39,-0.14826287953275236,0,-0.126636996367615,0,-0.12493616531879309,0,-0.14648949826931867,0,-0.12493616531879309,0
2004.02.13.09.02.39,-0.1568677810216369,0,-0.1610792878977862,0,-0.11773936649879424,0,-0.2037126639656356,0,-0.11773936649879424,0
2004.02.13.09.12.39,-0.17868385560502276,0,-0.1371652200839259,0,-0.11438802997401043,0,-0.17592087624844255,0,-0.11438802997401043,0
2004.02.13.09.22.39,-0.1620938631572426,0,-0.05799098480274978,0,-0.15806522833979042,0,-0.1748640238286408,0,-0.05799098480274978,0
2004.02.13.09.32.39,-0.1616780835378121,0,-0.12642804771760457,0,-0.1501024018003722,0,-0.18692219718180408,0,-0.12642804771760457,0
2004.02.13.09.42.39,-0.09709149478788187,0,-0.1504664290768135,0,-0.20146234429464882,0,-0.13746308136801588,0,-0.09709149478788187,0
2004.02.13.09.52.39,-0.1664827845081005,0,-0.13578754493528572,0,-0.1806200912212163,0,-0.18917754504739476,0,-0.13578754493528572,0
2004.02.13.10.02.39,-0.16506320215666498,0,-0.15740819140746576,0,-0.17444700172607358,0,-0.18210375143904123,0,-0.15740819140746576,0
2004.02.13.10.12.39,-0.04650433093856832,0,-0.17826609996472692,0,-0.16253440176075834,0,-0.10920200904719057,0,-0.04650433093856832,0
2004.02.13.10.22.39,-0.12470308404816643,0,-0.09723954319911854,0,-0.10114658192636383,0,-0.14977583764449093,0,-0.09723954319911854,0
2004.02.13.10.32.39,-0.1499686483997565,0,-0.14108353022868142,0,-0.0800364466524045,0,-0.1249873096615623,0,-0.0800364466524045,0
2004.02.13.10.42.39,-0.11832288074506125,0,-0.10520300825344109,0,0.03271645502879139,1,-0.15416593278760748,0,0.03271645502879139,1
2004.02.13.10.52.39,-0.14210784553645134,0,-0.12359958247914854,0,-0.19269115449124252,0,-0.20512551592306344,0,-0.12359958247914854,0
2004.02.13.11.02.39,-0.1256876327442223,0,-0.13575707461583025,0,-0.14677427605934162,0,-0.17587250418829042,0,-0.1256876327442223,0
2004.02.13.11.12.39,-0.15889726981083463,0,-0.06174504013521698,0,-0.15194544200617233,0,-0.1479830244784437,0,-0.06174504013521698,0
2004.02.13.11.22.39,-0.17686101028723622,0,-0.10057043532100318,0,-0.13932883267006496,0,-0.10555142491786762,0,-0.10057043532100318,0
2004.02.13.11.32.39,-0.15261223047929973,0,-0.18718998863106412,0,-0.21300342633800995,0,-0.20711712861000608,0,-0.15261223047929973,0
2004.02.13.11.42.39,-0.12359886192848885,0,-0.18668673314022372,0,-0.13093761707419177,0,-0.19130028017863726,0,-0.12359886192848885,0
2004.02.13.11.52.39,-0.14821843118304623,0,-0.15460402510337906,0,-0.12260644457266728,0,-0.17080705723975148,0,-0.12260644457266728,0
2004.02.13.12.02.39,-0.18604004155099663,0,-0.14521372683149253,0,-0.18212686660355815,0,-0.19838880090463767,0,-0.14521372683149253,0
2004.02.13.12.12.39,-0.07115184159980636,0,-0.15467857255333356,0,-0.09868385829581272,0,-0.1801621057891149,0,-0.07115184159980636,0
2004.02.13.12.22.39,-0.16823644918353514,0,-0.18286394061892247,0,-0.10600647572189886,0,-0.21000014075049406,0,-0.10600647572189886,0
2004.02.13.12.32.39,-0.1093105962877734,0,0.006419943523523264,1,-0.14641746007509338,0,-0.13451412309684696,0,0.006419943523523264,1
2004.02.13.12.42.39,-0.13969792187024738,0,-0.14834954500101372,0,-0.16634766687808666,0,-0.20760330230664942,0,-0.13969792187024738,0
2004.02.13.12.52.39,-0.12424851261652398,0,-0.09130411255479487,0,-0.14294123456015112,0,-0.11718778386811624,0,-0.09130411255479487,0
2004.02.13.13.02.39,-0.17176354718178838,0,-0.18308454615197395,0,-0.039737594931596454,0,-0.18572417053750145,0,-0.039737594931596454,0
2004.02.13.13.12.39,-0.16240912851669487,0,-0.12163977250018948,0,-0.1790800203994391,0,-0.20291209727966142,0,-0.12163977250018948,0
2004.02.13.13.22.39,-0.18442639816090495,0,-0.10176781852192246,0,-0.10239403442883571,0,-0.15773947756564816,0,-0.10176781852192246,0
2004.02.13.13.32.39,-0.10815802321016438,0,-0.07176163232838517,0,-0.14763841321937732,0,-0.09809497249021182,0,-0.07176163232838517,0
2004.02.13.13.42.39,-0.1397133507278459,0,-0.13575332965084597,0,-0.12759022166304484,0,-0.1594080458299606,0,-0.12759022166304484,0
2004.02.13.13.52.39,-0.06313855938340096,0,-0.12941077138416446,0,-0.1663584680274549,0,-0.13139183261448967,0,-0.06313855938340096,0
2004.02.13.14.02.39,-0.14152708761514815,0,-0.15094993848901717,0,-0.16095260524109495,0,-0.12383219742107043,0,-0.12383219742107043,0
2004.02.13.14.12.39,-0.13145033044010956,0,-0.09763365792652146,0,-0.12459455623325094,0,-0.1908849412145287,0,-0.09763365792652146,0
2004.02.13.14.22.39,-0.129816414387242,0,-0.1471698103351135,0,-0.16016657222132658,0,-0.1434705183023665,0,-0.129816414387242,0
2004.02.13.14.32.39,-0.15234062064796017,0,-0.11856978381195349,0,-0.05955442154677637,0,-0.20817576266988902,0,-0.05955442154677637,0
2004.02.13.14.42.39,-0.14589807476569977,0,-0.14090236545486795,0,-0.199781551898857,0,-0.13399249269406982,0,-0.13399249269406982,0
2004.02.13.14.52.39,-0.144926358674695,0,-0.17051222068377858,0,-0.19360356970928533,0,-0.1535696077799104,0,-0.144926358674695,0
2004.02.13.15.02.39,-0.16410445986730876,0,-0.17138610868564685,0,-0.19671951617321842,0,-0.16711362714041966,0,-0.16410445986730876,0
2004.02.13.15.12.39,-0.08903298289044953,0,-0.1884807311764805,0,-0.18786018029233792,0,-0.10707707118554044,0,-0.08903298289044953,0
2004.02.13.15.22.39,-0.12188196763688919,0,-0.16272445627236637,0,-0.14378981236009503,0,-0.12239284559768798,0,-0.12188196763688919,0
2004.02.13.15.32.39,-0.13865832800317485,0,-0.14644698705414322,0,-0.1921671912694713,0,-0.17054386013129919,0,-0.13865832800317485,0
2004.02.13.15.42.39,-0.13782973127038667,0,-0.15671470075368626,0,-0.15924351558290406,0,-0.15161440284850164,0,-0.13782973127038667,0
2004.02.13.15.52.39,-0.06958258160654984,0,-0.14993294547856173,0,-0.15983190256097252,0,-0.1685880623079506,0,-0.06958258160654984,0
2004.02.13.16.02.39,-0.13516628504008105,0,-0.15416351160967318,0,-0.1185076270033249,0,-0.16015438338309862,0,-0.1185076270033249,0
2004.02.13.16.12.39,-0.16719914862954122,0,-0.17659472143529759,0,-0.18595194742480464,0,-0.20448704003758822,0,-0.16719914862954122,0
2004.02.13.16.22.39,-0.19121757653040644,0,-0.1884193602131145,0,-0.1469606927521051,0,-0.18714777112885395,0,-0.1469606927521051,0
2004.02.13.16.32.39,-0.047771517220072,0,-0.1482237904122795,0,-0.2073166439068213,0,-0.17959662158759299,0,-0.047771517220072,0
2004.02.13.16.42.39,-0.0990933627807905,0,-0.0942694095436179,0,-0.07819832805707017,0,-0.08522944745162386,0,-0.07819832805707017,0
2004.02.13.16.52.39,-0.13173676538460527,0,-0.16281298658225962,0,-0.198698646993263,0,-0.16686504132274244,0,-0.13173676538460527,0
2004.02.13.17.02.39,-0.08855922898819146,0,-0.03719770142334822,0,-0.18971515342746192,0,-0.1342949336447124,0,-0.03719770142334822,0
2004.02.13.17.12.39,-0.1308105593499289,0,-0.12086739870751939,0,-0.12230174488859413,0,-0.1629043042746094,0,-0.12086739870751939,0
2004.02.13.17.22.39,-0.19633145919043404,0,-0.09925705810285596,0,-0.1517800552356432,0,-0.20908647588595913,0,-0.09925705810285596,0
2004.02.13.17.32.39,-0.14445919403589813,0,-0.17980846414631751,0,-0.12013452522454798,0,-0.18426754617864843,0,-0.12013452522454798,0
2004.02.13.17.42.39,-0.08250589116797719,0,-0.08513948104041758,0,-0.18562835485293772,0,0.02130759939475413,1,0.02130759939475413,1
2004.02.13.17.52.39,-0.15334156095989443,0,-0.17999150107666168,0,-0.1895881533772958,0,-0.17727142517858901,0,-0.15334156095989443,0
2004.02.13.18.02.39,-0.15737547033081606,0,-0.1778170381943857,0,-0.17681110938867833,0,-0.11749866902986883,0,-0.11749866902986883,0
